LON,LAT,NUM,STR,CITY,ZIP,PID
-100.62611784222115,37.16277341789622,00000,00000,Plains,67869,0601641900000001000
-100.60330282589382,37.15913645470543,00000,00000,Plains,67869,0601642000000003000
-100.61219580899089,37.15737194443386,3106,W RD,Plains,67869,0601642000000002010
-100.57584320468804,37.162588729629476,00000,00000,Plains,67869,0601652200000002000
-100.59413319941848,37.15917101874234,00000,00000,Plains,67869,0601652100000003000
-100.58516146551202,37.1591208424534,00000,00000,Plains,67869,0601652100000004000
-100.56688302626026,37.15896073707569,00000,00000,Plains,67869,0601652200000003000
-100.53975956721027,37.16246800540358,00000,00000,Plains,67869,0601662400000002000
-100.55780600845505,37.15896479140182,00000,00000,Plains,67869,0601662300000002010
-100.54889367789252,37.15893851612263,00000,00000,Plains,67869,0601662300000001010
-100.53303535571177,37.15890278695338,00000,00000,Plains,67869,0601662400000003000
-100.5285117179695,37.158861694026456,00000,00000,Plains,67869,0601662400000004000
-100.55328555838457,37.148106317015156,0000,RURAL,Plains,67869,0601672600000001000
-100.53972063332753,37.14808836980805,00000,00000,Plains,67869,0601672500000002000
-100.53072561913132,37.14805890998721,00000,00000,Plains,67869,0601672500000001000
-100.5577134128105,37.13357735681841,00000,00000,Plains,67869,0601673500000002000
-100.55207525685476,37.13973155037558,00000,00000,Plains,67869,0601673500000001020
-100.54885350119059,37.13708506033964,00000,00000,Plains,67869,0601673500000001000
-100.54574140916131,37.139834838556055,00000,00000,Plains,67869,0601673500000001010
-100.53964366657229,37.13708031792662,00000,00000,Plains,67869,0601673600000003000
-100.54565694866002,37.13444883458662,00000,00000,Plains,67869,0601673500000001030
-100.54874026944736,37.1299675583426,00000,00000,Plains,67869,0601673500000003000
-100.5455786083807,37.132517010878864,00000,00000,Plains,67869,0601673500000003010
-100.53957066004,37.12986259829742,00000,00000,Plains,67869,0601673600000004000
-100.53058238545421,37.129852979620225,00000,00000,Plains,67869,0601673600000005000
-100.59410496986067,37.15180432206137,00000,00000,Plains,67869,0601682800000002000
-100.58508122260095,37.148190711394406,23179,5 RD,Plains,67869,0601682800000001010
-100.5713531217166,37.15171826051707,00000,00000,Plains,67869,0601682700000001000
-100.59404526827603,37.144626025470416,00000,00000,Plains,67869,0601682800000003000
-100.5713291146898,37.14455037071145,00000,00000,Plains,67869,0601682700000003000
-100.5817138850635,37.1441342943596,23179,5 RD,Plains,67869,0601682800000001000
-100.59395123667453,37.1336355216065,00000,00000,Plains,67869,0601683300000002000
-100.58500557861497,37.13724303732593,00000,00000,Plains,67869,0601683300000001000
-100.57578294030893,37.13721201835702,00000,00000,Plains,67869,0601683400000003000
-100.56811358030814,37.13904323637468,00000,00000,Plains,67869,0601683400000002000
-100.56677106967555,37.1336035833864,00000,00000,Plains,67869,0601683400000001000
-100.58496457231888,37.13005573490598,00000,00000,Plains,67869,0601683300000003000
-100.57573627687235,37.13006848738044,00000,00000,Plains,67869,0601683400000004000
-100.63062077649104,37.15187520165503,00000,00000,Plains,67869,0601693000000002000
-100.6213803924157,37.151865927179685,00000,00000,Plains,67869,0601693000000001000
-100.61216616099325,37.14817460018157,3105,W RD,Plains,67869,0601692900000002000
-100.60318633641019,37.15181223088534,00000,00000,Plains,67869,0601692900000001000
-100.60639324157529,37.14926493436746,00000,00000,Plains,67869,0601692900000001010
-100.63055686585012,37.144629068877165,00000,00000,Plains,67869,0601693000000003000
-100.62130686845381,37.14463452415754,23121,3 RD,Plains,67869,0601693000000004000
-100.6031526024255,37.14575887514137,00000,00000,Plains,67869,0601692900000003010
-100.61815405893682,37.14727187928583,23121,3 RD,Plains,67869,0601693000000005000
-100.60312972817422,37.142098037205926,23185,4 RD,Plains,67869,0601692900000003000
-100.63058790758394,37.13743913961157,00000,00000,Plains,67869,0601693100000002000
