LON,LAT,NUM,STR,CITY,ZIP,PID
-101.00696341021546,38.34093477275648,00000,W ROAD 50,Scott City,67871,086193060000000200001
-101.04847306379966,38.326337407314035,00000,W ROAD 40,Scott City,67871,086201110000000200001
-101.05766358014779,38.32638231303574,00000,W ROAD 40,Scott City,67871,086202100000000200001
-101.07381954472491,38.32896071079303,10541,S CHEROKEE RD,Marienthal,67863,086202090000000300001
-101.07615479974763,38.32654365802364,10731,S CHEROKEE RD,Marienthal,67863,086202090000000200001
-101.09445242117476,38.326302136614544,00000,W ROAD 40,Marienthal,67863,086203080000000400001
-101.10380016740129,38.32632434524406,00000,W ROAD 40,Marienthal,67863,086203080000000300001
-101.11294662497798,38.32629737539294,00000,W ROAD 40,Marienthal,67863,086203070000000300001
-101.02546859727047,38.329981337750084,00000,W ROAD 50,Scott City,67871,086201120000000100001
-101.04388467639006,38.333566028999506,00000,W ROAD 50,Scott City,67871,086201110000000100001
-101.06237670447364,38.330085492012564,10530,S CHEROKEE RD,Marienthal,67863,086202100000000100001
-101.08533431128436,38.3264084177933,00000,W ROAD 40,Marienthal,67863,086202090000000101001
-101.09458800479892,38.3335694147358,00000,W ROAD 50,Marienthal,67863,086203080000000100001
-101.09907142406757,38.31907237184153,00000,W ROAD 40,Marienthal,67863,086204170000000100001
-101.11497490006613,38.319018100556306,00000,W ROAD 40,Marienthal,67863,086204180000000100001
-101.12377930568292,38.318964534837974,00000,S WICHITA-SCOTT RD,Marienthal,67863,086204180000000200001
-101.02994589496963,38.326369654091835,00000,W ROAD 40,Scott City,67871,086201120000000200001
-101.0391700177417,38.32634180992088,00000,W ROAD 40,Scott City,67871,086201110000000300001
-100.98341273924743,38.29025690344614,00000,W ROAD 20,Scott City,67871,086199290000000100001
-100.99244403999123,38.290189309692025,00000,W ROAD 20,Scott City,67871,086199290000000101001
-100.99236084701278,38.28305799127064,00000,W ROAD 10,Scott City,67871,086199290000000200001
-100.98330816187362,38.28314938636295,00000,W ROAD 10,Scott City,67871,086199290000000201001
-101.00622819170687,38.290181551371695,00000,W ROAD 20,Scott City,67871,086199300000000100001
-101.0108175097711,38.282885676889734,00000,W ROAD 10,Scott City,67871,086199300000000200001
-101.00160452296446,38.28289422034277,00000,W ROAD 10,Scott City,67871,086199300000000201001
-101.00149551644715,38.27221558723498,00000,S GRANT RD,Scott City,67871,086199310000000100001
-101.01052939311,38.268481557121596,00000,W FINNEY-SCOTT RD,Scott City,67871,086199310000000102001
-100.98072261330574,38.26685467381458,4855,W FINNEY-SCOTT RD,Scott City,67871,086199320000000100001
-100.98312975061916,38.27228690581774,00000,S HEREFORD RD,Scott City,67871,086199320000000200001
-100.99225679200931,38.274011605705155,00000,S GRANT RD,Scott City,67871,086199320000000300001
-100.99215020510422,38.26682996697629,00000,W FINNEY-SCOTT RD,Scott City,67871,086199320000000400001
-101.02429127334395,38.26846700238613,00000,W FINNEY-SCOTT RD,Scott City,67871,086207360000000201001
-101.05418731065316,38.268499873984126,00000,S DAKOTA RD,Scott City,67871,086208340000000400001
-101.05883041040433,38.268466515618094,00000,W FINNEY-SCOTT RD,Marienthal,67863,086208340000000300001
-101.06566022874594,38.26842171705115,00000,W FINNEY-SCOTT RD,Marienthal,67863,086208340000000200001
-101.11164075752419,38.26824765150654,00000,W FINNEY-SCOTT RD,Scott City,67871,086209310000000300001
-101.01986812114939,38.27563471037193,00000,W ROAD 10,Marienthal,67863,086207360000000100001
-101.02896199718839,38.27564572984551,00000,W ROAD 10,Scott City,67871,086207360000000200001
-101.03816130040747,38.2756458754793,00000,W ROAD 10,Scott City,67871,086207350000000100001
-101.04270200344514,38.27205205463516,00000,W FINNEY-SCOTT RD,Scott City,67871,086207350000000200001
-101.0612673596579,38.27563173636753,00000,W ROAD 10,Marienthal,67863,086208340000000100001
-101.07507320568763,38.27199085031665,00000,S CHEROKEE RD,Marienthal,67863,086208330000000100001
-101.0841840432667,38.27191057612527,00000,S BEAVER RD,Scott City,67871,086208330000000101001
-101.09789966206014,38.27185882542537,00000,W FINNEY-SCOTT RD,Scott City,67871,086209320000000100001
-101.10259341242028,38.27551950108122,00000,W ROAD 10,Marienthal,67863,086209320000000200001
-101.11179601964295,38.27550677695458,00000,W ROAD 10,Marienthal,67863,086209310000000100001
